RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METH,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2PURP1,Q2PURP2,Q2PURP3,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3PARK,Q4BAGS,Q4STORE,Q4FOOD,Q4WIFI,Q5TIMESFLOWN,Q5FIRSTTIME,Q6LONGUSE,Q7ART,Q7FOOD,Q7STORE,Q7SIGN,Q7WALKWAY,Q7SCREENS,Q7INFODOWN,Q7INFOUP,Q7WIFI,Q7ROADS,Q7PARK,Q7AIRTRAIN,Q7LTPARKING,Q7RENTAL,Q7ALL,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q9Boarding,Q9AirTrain,Q9Rental,Q9Food,Q9Restroom,Q9All,Q9-1,Q9-2,Q9-3,Q10Safe,Q10-1,Q10-2,Q10-3,Q11TSAPRE,Q12PRECHECKRATE,Q12-1,Q12-2,Q12-3,Q13COUNTY,Q13GETRATE,Q14FIND ,Q14PASSTHRU,Q15PROBLEM,Q15-1,Q15-2,Q15-3,NETPRO  ,Q17LIVE,Q18CITY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q20Age,Q21Gender,Q22Income,Q23FLY,Q24SJC,Q24OAK,LANG,WEIGHT
2336,1275,93,10,5,40,C,1,1,1,2,DELTA,NEW YORK-JFK,407,16,42,2,4,7:00 AM,8:30:00 AM,90,2,,,6,,,,0,0,1,0,3,1,2,5,4,5,5,5,5,6,6,6,5,4,5,5,6,5,0,,,,,5,5,6,5,5,5,0,,,5,0,,,1,5,0,,,1,5,5,5,2,,,,10,1,PLEASANTON,CA,94566,US,1,6,2,4,2,1,0,1,1.1789461
2337,1408,525,15,3,28,B,3,2,1,2,SOUTHWEST,LAS VEGAS,1201,28,31,1,4,8:00 PM,9:45:00 PM,105,2,,,2,,,,1,2,2,1,2,1,4,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,5,5,6,6,5,5,0,,,5,0,,,1,5,0,,,5,5,4,5,2,,,,10,1,SAN FRANCISCO,CA,94112,US,5,3,1,1,2,2,2,1,0.9942748
2338,151,49,3,5,7,A,2,3,1,2,CHINA EASTERN,SHANGHAI,590,13,64,8,4,7:30 AM,12:00:00 PM,270,2,,,2,,,,0,0,0,1,3,1,4,4,3,3,4,4,3,4,3,5,4,4,3,6,5,4,1,,,,,5,6,5,4,5,5,0,,,4,0,,,1,5,0,,,7,5,5,5,2,,,,10,1,SAN JOSE,CA,95127,US,7,5,1,2,1,1,2,1,0.6704842
2339,51,84,8,3,91,G,2,3,1,2,UNITED INTL,PARIS-DE GAULLE,990,31,47,6,4,12:45 PM,2:45:00 PM,120,2,,,5,,,,1,2,2,2,3,1,4,5,5,5,5,5,5,6,6,6,4,6,6,6,6,5,0,,,,,5,6,6,5,5,5,0,,,5,0,,,1,5,0,,,6,5,5,5,2,,,,10,1,REDWOOD CITY,CA,94061,US,6,7,2,4,1,1,2,1,1.4869248
2340,425,636,30,4,60,E,1,1,1,2,UNITED,LAS VEGAS,358,30,31,1,4,8:30 AM,10:52:00 AM,142,2,,,5,,,,2,2,1,2,4,1,2,5,5,5,5,5,5,5,5,4,5,5,6,6,6,BLANK,0,,,,,5,6,6,4,5,5,0,,,5,0,,,1,5,0,,,1,5,5,5,2,,,,10,1,UNION CITY,CA,94587,US,1,4,1,0,2,2,1,1,1.4869248
2341,1982,206,20,1,6,A,3,3,1,2,AIR FRANCE/KLM,PARIS-DE GAULLE,85,5,47,6,4,6:00 PM,8:30:00 PM,150,2,,,6,,,,0,0,0,0,3,1,4,5,4,6,5,5,5,5,5,5,5,5,5,6,6,5,0,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,2,5,5,5,2,,,,10,1,RICHMOND,CA,94804,US,2,6,1,1,2,2,1,1,0.2863575
2342,2098,171,17,5,58,D,1,1,1,2,AMERICAN,CHICAGO-O'HARE,2594,8,12,3,4,8:05 AM,9:25:00 AM,80,2,,,6,,,,2,2,2,2,2,1,4,3,6,6,5,5,5,6,6,6,5,6,5,6,6,5,0,,,,,5,5,6,6,5,5,0,,,5,0,,,1,4,0,,,1,5,5,5,2,,,,10,1,ALAMEDA,CA,94501,US,1,6,1,3,2,2,1,1,1.0611394
2343,2764,66,5,7,88,F,1,1,1,2,UNITED,RALEIGH-DURHAM,1445,30,53,2,2,6:30 AM,9:30:00 AM,180,2,,,5,,,,1,0,1,1,1,2,1,4,4,4,3,4,4,6,6,4,6,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,1,1,0,,,5,5,4,5,2,,,,10,3,BURLINGTON,NC,27215,US,12,7,2,2,2,2,2,1,1.4869248
2344,1650,634,30,4,81,F,1,1,1,2,UNITED,NEWARK,414,30,43,2,4,6:00 AM,9:00:00 AM,180,2,,,9,,,,1,0,1,1,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,18,5,5,5,2,,,,10,2,MONTEREY,CA,93940,US,10,4,2,2,1,1,2,1,1.4869248
2345,1225,98,11,6,85,F,1,2,1,2,UNITED,NEWARK,577,30,43,2,4,5:00 AM,7:30:00 AM,150,2,,,2,,,,1,2,2,1,1,2,1,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,51,,,,,5,5,5,5,5,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,COIMBATORE,,,INDIA,16,5,1,2,2,2,2,1,1.4869248
